Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
02/2002;180.00 ;50,056,190 ;35,906 ;-1,201.4 ;-;-;-
03/2002;180.00 ;49,371,487 ;36,721 ;-1,136.2 ;-;-;-
04/2002;200.00 ;48,598,453 ;33,008 ;-2,126.3 ;-;-;-
05/2002;200.00 ;49,264,504 ;32,889 ;-2,042.1 ;-;-;-
06/2002;200.00 ;50,577,170 ;41,999 ;-1,425.2 ;-;-;-
07/2002;200.00 ;54,219,591 ;39,060 ;-707.5 ;-;-;-
08/2002;200.00 ;56,266,117 ;37,643 ;169.8 ;-;-;-
09/2002;200.00 ;58,164,776 ;38,381 ;1,077.2 ;-;-;-
10/2002;200.00 ;60,606,831 ;35,855 ;-183.0 ;-;-;-
11/2002;200.00 ;61,344,327 ;35,592 ;-306.9 ;-;-;-
12/2002;200.00 ;69,900,577 ;37,823 ;-220.4 ;-;-;-
01/2003;200.00 ;68,885,958 ;38,772 ;34.6 ;-;-;-
02/2003;200.00 ;64,092,374 ;38,530 ;-331.7 ;-;-;-
03/2003;200.00 ;69,290,133 ;42,335 ;41.3 ;-;92,302 ;300,391
04/2003;240.00 ;67,371,609 ;41,500 ;-1,102.3 ;-;91,556 ;299,233
05/2003;240.00 ;66,199,137 ;43,373 ;717.5 ;-;92,745 ;299,041
06/2003;240.00 ;65,702,551 ;47,956 ;311.7 ;-;95,373 ;298,621
07/2003;240.00 ;66,356,958 ;47,645 ;589.7 ;-;97,905 ;298,693
08/2003;240.00 ;64,492,540 ;47,793 ;1,082.2 ;-;98,503 ;297,979
09/2003;240.00 ;58,850,685 ;52,675 ;1,144.1 ;-;96,641 ;296,489
